brand;year;transmission;mileage;fuelType;tax;mpg;engineSize;price
merc;2013;Automatic;84000;Diesel;205.0;44.8;2.1;17500
ford;2017;Manual;11373;Petrol;30.0;54.3;1.0;11891
vauxhall;2019;Manual;7300;Petrol;145.0;42.2;1.2;14990
ford;2017;Manual;33650;Diesel;235.0;44.1;2.0;17995
bmw;2019;Automatic;467;Petrol;145.0;38.7;2.0;32970
audi;2019;Automatic;2000;Petrol;145.0;30.1;2.9;53990
skoda;2017;Manual;33599;Diesel;145.0;74.3;1.6;9185
ford;2016;Manual;27500;Diesel;160.0;48.7;2.0;17900
ford;2017;Manual;25243;Diesel;30.0;64.2;1.5;12498
vw;2015;Manual;90000;Diesel;30.0;53.3;2.0;9475
ford;2016;Manual;30000;Diesel;125.0;61.4;1.5;13995
vw;2019;Manual;100;Diesel;150.0;52.3;2.0;25390
toyota;2017;Manual;14345;Petrol;150.0;36.2;2.0;17000
toyota;2018;Automatic;16734;Diesel;265.0;36.2;2.4;23994
merc;2017;Automatic;26452;Diesel;305.0;37.2;3.0;38343
audi;2017;Semi-Auto;34132;Diesel;30.0;62.8;3.0;21150
skoda;2017;Manual;32657;Diesel;0.0;74.3;1.6;8485
vw;2019;Automatic;7865;Diesel;145.0;50.4;2.0;28995
vw;2019;Semi-Auto;5000;Diesel;150.0;44.1;2.0;26999
vw;2019;Manual;3615;Diesel;145.0;38.2;2.0;20480
toyota;2018;Automatic;20252;Hybrid;135.0;85.6;1.8;22000
ford;2018;Manual;5007;Petrol;145.0;57.7;1.2;8299
skoda;2016;Manual;49093;Diesel;0.0;74.3;1.6;6985
hyundi;2016;Manual;10200;Diesel;200.0;46.3;2.2;17390
toyota;2017;Automatic;33989;Other;165.0;43.5;1.8;14800
skoda;2020;Manual;5234;Petrol;145.0;49.6;1.0;16490
audi;1997;Automatic;122000;Petrol;265.0;18.9;4.2;4650
hyundi;2016;Manual;28500;Petrol;125.0;50.4;1.4;8189
ford;2015;Manual;54429;Diesel;125.0;58.9;1.6;10499
hyundi;2018;Manual;21588;Diesel;145.0;47.1;2.2;20842
merc;2019;Semi-Auto;4688;Petrol;150.0;31.7;4.0;109995
merc;2020;Semi-Auto;29;Diesel;145.0;46.3;2.0;39480
merc;2013;Automatic;51800;Diesel;200.0;44.8;2.1;15990
bmw;2019;Semi-Auto;706;Diesel;145.0;44.1;3.0;52700
audi;2019;Automatic;945;Diesel;145.0;33.6;3.0;56000
merc;2015;Automatic;42073;Diesel;125.0;55.4;2.1;15999
merc;2019;Automatic;39;Diesel;260.0;35.8;2.3;28675
bmw;2019;Semi-Auto;17561;Petrol;145.0;24.8;3.0;67989
audi;2015;Automatic;24987;Petrol;315.0;29.4;4.0;44950
skoda;2013;Manual;67235;Diesel;200.0;47.1;2.0;6688
ford;2017;Semi-Auto;20045;Diesel;160.0;48.7;2.0;20750
bmw;2017;Automatic;5735;Petrol;145.0;32.5;3.0;39950
ford;2017;Semi-Auto;41726;Diesel;160.0;48.7;2.0;18998
vauxhall;2016;Automatic;44310;Petrol;200.0;42.8;1.4;9240
ford;2017;Manual;22922;Diesel;160.0;48.7;2.0;19999
vauxhall;2019;Manual;17957;Diesel;145.0;53.3;1.5;15990
merc;2015;Automatic;46757;Diesel;205.0;47.9;3.0;25460
audi;2019;Semi-Auto;4488;Diesel;145.0;33.6;3.0;48995
toyota;2016;Semi-Auto;13992;Petrol;165.0;43.5;1.8;13490
merc;2001;Automatic;48172;Petrol;325.0;30.0;2.3;3990
ford;2018;Manual;10691;Petrol;150.0;47.9;1.2;9500
ford;2017;Manual;32750;Diesel;125.0;56.5;2.0;18999
vw;2019;Automatic;1000;Diesel;145.0;37.7;2.0;34000
vw;2013;Manual;38333;Petrol;235.0;37.2;2.0;10400
toyota;2013;Automatic;58852;Other;10.0;64.2;1.8;17995
vw;2018;Automatic;5673;Diesel;260.0;33.6;3.0;32000
skoda;2015;Manual;28301;Petrol;20.0;57.7;1.2;7990
